code,R,F,M,Àà±ð
1308,133,1,184,3
1309,138,1,221,0
1310,161,1,84,7
1311,133,1,89,7
1312,51,1,163,4
1313,33,1,168,4
1314,53,1,178,4
1315,162,1,110,7
1316,133,1,169,3
1317,18,1,199,4
1318,71,1,166,4
1319,157,1,39,7
1320,170,1,248,0
1321,170,1,82,7
1322,102,1,144,3
1323,170,1,72,7
1324,14,1,79,1
1325,14,2,69.5,2
1326,12,1,72,1
1327,53,1,89,1
1328,132,1,177,3
1329,37,1,94,1
1330,91,1,94,3
1331,154,1,265,0
1332,47,1,255,4
1333,168,1,32,7
1334,53,1,139,4
1335,150,1,253,0
1336,154,1,144,3
1337,11,1,191,4
1338,133,1,140,3
1339,170,1,72,7
1340,170,1,84,7
1341,73,1,173,4
1342,178,1,115,7
1343,133,1,87,7
1344,18,2,151.5,2
